listing,price_in_usd,vendor,origin,destination,drug category,type of product,description,num_feedback,average_ rating
***HEAVY HITTERS DANK VAPE CARTRIDGES***,350,vapestore,US,US,cannabis,cartridge,"Dank Vape Full Gram Cartridges. When it comes to ease of use, portability, and functionality, one cannabis product stands tall above the rest, that is the Dank Vape Cartridge.You may know them as pre-loaded cannabis oil vape cartridges, hash oil vape pens, or even disposable wax pens.",0,0
***Moon Rock Celear Vape cartridges***,300,vapestore,US,US,Synthetic cannabinoid,cartridge,"Dank Vape Full Gram Cartridges. When it comes to ease of use, portability, and functionality, one cannabis product stands tall above the rest, that is the Dank Vape Cartridge.You may know them as pre-loaded cannabis oil vape cartridges, hash oil vape pens, or even disposable wax pens.",0,0
*** Supreme Cartridges***,300,vapestore,US,US,cannabis,cartridge,"Dank Vape Full Gram Cartridges. When it comes to ease of use, portability, and functionality, one cannabis product stands tall above the rest, that is the Dank Vape Cartridge.You may know them as pre-loaded cannabis oil vape cartridges, hash oil vape pens, or even disposable wax pens.",0,0
***FIRE OG MARIO CARTRIDGES ***,270,vapestore,US,US,cannabis,cartridge,"Dank Vape Full Gram Cartridges. When it comes to ease of use, portability, and functionality, one cannabis product stands tall above the rest, that is the Dank Vape Cartridge.You may know them as pre-loaded cannabis oil vape cartridges, hash oil vape pens, or even disposable wax pens.",0,0
MJ CBD VAPE PEN 200MG STRAWBERRY LEMONADE,300,mary-jane,US,worldwide,cannabis,vape pen,"Get into summer mode with this strawberry lemonade flavored CBD vape pen. This fruity blast of deliciousness is just what you need to get the feeling of summer no matter what time of year it is.

Portable and disposable, this vape pen is perfect for the on-the-go vaper. The pen fits nicely in the palm of your hand and is incredibly pocket-friendly and durable. So whether youêre at the beach or headed out for the night, this vape pen can go wherever you do.

In addition to portability and delicious strawberry flavoring, this vape pen contains high-quality CBD that will have you experience the many benefits of CBD in no time flat. This portable vape pen can help you experience the many benefits of CBD. Talk about getting the most bang for your buck!

Lastly, besides being made with natural and safe ingredients and tasty flavoring, this vape pen is also incredibly easy to use. Itês user-friendly and ready to go as soon as you open the box. Order yours now!",0,0
MJ CBD VAPE PEN 200MG GRAND DADDY PURP,300,mary-jane,US,worldwide,cannabis,vape pen,"If youêre looking for a simple and easy way to relax that also happens to include a berry blast of fruity freshness then youêre in luck! Introducing the Grand Daddy Purp vape pen that will leave your taste buds singing with satisfaction.

Strawberry, raspberry, and blueberry flavors mingle in your mouth when you use this disposable vape pen. Delicious and tasty, this vape pen is perfect for anyone who is a flavor chaser and likes to add a little fruity sweetness to their vaping experience.

This vape pen is also perfect for people who are on the go and value being discreet. The portable pen is durable and fits nicely in your pocket or backpack so you can take it wherever you go, and itês small enough that most people wonêt even notice you have it.

Made with high-quality and natural ingredients, this Gran Daddy vape pen is also completely safe for you to use. Not to mention, the pen is also very simple and easy to use, so you wonêt have to read a laundry list of instructions to get it to work. Just take it out of the box, press the button and youêre ready to go. Fast, simple and easy.",0,0
Cannabis Vape Pens and Cartridges,200,vapestore,US,worldwide,cannabis,multiple,"Got Vape pens, King pens, knuckle Brass",0,0
KING PEN VAPE CARTRIDGES free shipping,300,mary-jane,US,worldwide,unspecified,cartridge,KING PEN VAPE CARTRIDGES free shipping,0,0
"1x **BRAND NEW** 1g Cookies High Flyer Cart, Various Flavours",40,thcdoctor42,US,worldwide,cannabis,cartridge,"BRAND NEW

Now available are these 1g Cookie High Flyers vape carts. These vape carts are filled with premium triple distilled Distillate These premium ceramic 1g vape carts have a 510 battery thread and come in a variety of smooth flavours ncluding: London Pound Cake Gelato Cereal Milk Lemoncello Gushers",0,0
**** LAB TESTED full gram kingpen VAPE CARTRIDGES****,300,vapestore,US,worldwide,cannabis,vape pen,ALREADY KNOW THIS AVAILABLE WITH MULTIPLE FLAVORS LAB TESTED full gram kingpen VAPE CARTRIDGES.,0,0
100 dank vape for $650 Top Quality AUCTION RATE AS FROM NOW TO 1st NOVEMBER GET YOURS NOW,650,mary-jane,US,worldwide,cannabis,cartridge,100 dank vape for $650 Top Quality AUCTION RATE AS FROM NOW TO 1st NOVEMBER GET YOURS NOW,1,5
